num_moves_to_randomize,num_moves_to_solve,num_nodes_created_to_solve,num_nodes_visited_to_solve,wall_time_to_solve,solve_sequence
16,8,5807266,5807192,1164,Front-C;Right-CC;Front-C;Left-C;Down-CC;Front-C;Up-C;Front-C;
16,12,97927580198,97927580084,24074177,Front-C;Front-C;Down-CC;Front-C;Right-CC;Front-C;Front-C;Down-CC;Left-C;Front-C;Right-CC;Front-C;
16,12,91303945874,91303945765,18832062,Front-C;Front-C;Right-CC;Up-C;Up-C;Left-C;Down-CC;Front-C;Left-C;Front-C;Front-C;Right-CC;
16,10,2254545900,2254545814,430472,Right-CC;Front-C;Down-CC;Front-C;Front-C;Left-C;Down-CC;Back-CC;Down-CC;Right-CC;
17,9,334864199,334864127,63692,Down-CC;Left-C;Left-C;Up-C;Back-CC;Down-CC;Front-C;Right-CC;Down-CC;
17,11,8953419241,8953419143,1709792,Front-C;Front-C;Right-CC;Front-C;Right-CC;Front-C;Down-CC;Back-CC;Up-C;Right-CC;Up-C;
17,7,1496397,1496334,284,Left-C;Front-C;Left-C;Front-C;Down-CC;Back-CC;Up-C;
17,11,9487334701,9487334607,1814021,Front-C;Left-C;Front-C;Down-CC;Left-C;Back-CC;Down-CC;Right-CC;Up-C;Back-CC;Up-C;
17,7,1094385,1094325,207,Left-C;Front-C;Left-C;Up-C;Left-C;Up-C;Right-CC;
17,11,16899182065,16899181971,3197625,Back-CC;Right-CC;Up-C;Left-C;Left-C;Down-CC;Front-C;Front-C;Left-C;Up-C;Up-C;
17,9,302856299,302856222,56960,Down-CC;Front-C;Front-C;Left-C;Down-CC;Back-CC;Down-CC;Right-CC;Back-CC;
17,7,446097,446037,86,Front-C;Left-C;Left-C;Up-C;Left-C;Up-C;Right-CC;
17,5,11779,11743,2,Down-CC;Right-CC;Up-C;Up-C;Right-CC;
17,11,15589011277,15589011176,2968423,Back-CC;Right-CC;Front-C;Front-C;Down-CC;Back-CC;Left-C;Left-C;Back-CC;Up-C;Back-CC;
18,8,34682938,34682866,6500,Up-C;Back-CC;Right-CC;Down-CC;Back-CC;Left-C;Front-C;Front-C;
